Date,Sales
2022-10-09,14
2022-10-10,29
2022-10-11,21
2022-10-12,16
2022-10-13,15
2022-10-14,22
2022-10-15,18
2022-10-16,18
2022-10-17,19
2022-10-18,19
2022-10-19,23
2022-10-20,18
2022-10-21,27
2022-10-22,22
2022-10-23,22
2022-10-24,15
2022-10-25,16
2022-10-26,18
2022-10-27,14
2022-10-28,24
2022-10-29,16
2022-10-30,23
2022-10-31,23
2022-11-01,16
2022-11-02,21
2022-11-03,19
2022-11-04,15
2022-11-05,20
2022-11-06,28
2022-11-07,23
2022-11-08,21
2022-11-09,19
2022-11-10,28
2022-11-11,19
2022-11-12,26
2022-11-13,21
2022-11-14,10
2022-11-15,24
2022-11-16,18
2022-11-17,20
2022-11-18,18
2022-11-19,23
2022-11-20,16
2022-11-21,14
2022-11-22,20
2022-11-23,27
2022-11-24,21
2022-11-25,14
2022-11-26,20
2022-11-27,16
2022-11-28,16
2022-11-29,21
2022-11-30,24
2022-12-01,20
2022-12-02,19
2022-12-03,15
2022-12-04,18
2022-12-05,22
2022-12-06,23
2022-12-07,16
2022-12-08,24
2022-12-09,22
2022-12-10,13
2022-12-11,25
2022-12-12,22
2022-12-13,17
2022-12-14,16
2022-12-15,15
2022-12-16,19
2022-12-17,25
2022-12-18,17
2022-12-19,21
2022-12-20,22
2022-12-21,21
2022-12-22,24
2022-12-23,26
2022-12-24,19
2022-12-25,17
2022-12-26,22
2022-12-27,15
2022-12-28,14
2022-12-29,17
2022-12-30,22
2022-12-31,16
